ligne	url	code_http	encodage	nb_mots
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	5963
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	1390
3	fr.wikipedia.org/wiki/Robot_d%27indexation	200	UTF-8	1907
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	2855
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	1414
6	https://roboty.magistry.fr		<meta charset="UTF-8">	1414
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	448
8	https://fr.wiktionary.org/wiki/robot	200	UTF-8	5836
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	1279
10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	13738
